year,month,business_applications
2022,09,422293
2022,10,429432
2022,11,416428
2022,12,423745
2023,01,428614
2023,02,446842
2023,03,452843
2023,04,444715
2023,05,449234
2023,06,470793
2023,07,478273
2023,08,467208
2023,09,470317
2023,10,470393
2023,11,455805
2023,12,454137
2024,01,450041
2024,02,443944
2024,03,431289
2024,04,431531
2024,05,427923
2024,06,436016
2024,07,424927
2024,08,436267
2024,09,427221
2024,10,426875
2024,11,446146
2024,12,464450
2025,01,385618
2025,02,432978
2025,03,458476
2025,04,455663
2025,05,452510
2025,06,463473
2025,07,474833
2025,08,478074
2025,09,510794
2025,10,498416
2025,11,537266
2025,12,496139
2026,01,526882
2026,02,496443
