year,month,graduate_unemployment_rate
2022,08,2.2
2022,09,1.7
2022,10,1.8
2022,11,1.9
2022,12,1.7
2023,01,2.1
2023,02,2.1
2023,03,2.0
2023,04,1.7
2023,05,1.9
2023,06,2.1
2023,07,2.3
2023,08,2.6
2023,09,2.1
2023,10,2.0
2023,11,2.0
2023,12,1.9
2024,01,2.2
2024,02,2.3
2024,03,2.1
2024,04,2.0
2024,05,2.0
2024,06,2.6
2024,07,2.7
2024,08,2.9
2024,09,2.2
2024,10,2.4
2024,11,2.3
2024,12,2.2
2025,01,2.3
2025,02,2.5
2025,03,2.6
2025,04,2.3
2025,05,2.4
2025,06,2.7
2025,07,3.1
2025,08,3.0
2025,09,2.8
2025,11,2.8
2025,12,2.6
2026,01,3.0
2026,02,3.0
