date,business_applications
2022-09-01,422293
2022-10-01,429432
2022-11-01,416428
2022-12-01,423745
2023-01-01,428614
2023-02-01,446842
2023-03-01,452843
2023-04-01,444715
2023-05-01,449234
2023-06-01,470793
2023-07-01,478273
2023-08-01,467208
2023-09-01,470317
2023-10-01,470393
2023-11-01,455805
2023-12-01,454137
2024-01-01,450041
2024-02-01,443944
2024-03-01,431289
2024-04-01,431531
2024-05-01,427923
2024-06-01,436016
2024-07-01,424927
2024-08-01,436267
2024-09-01,427221
2024-10-01,426875
2024-11-01,446146
2024-12-01,464450
2025-01-01,385618
2025-02-01,432978
2025-03-01,458476
2025-04-01,455663
2025-05-01,452510
2025-06-01,463473
2025-07-01,474833
2025-08-01,478074
2025-09-01,510794
2025-10-01,498416
2025-11-01,537266
2025-12-01,496139
2026-01-01,526882
2026-02-01,496443
