date,ai_targetable,non_automatable
2022-08-01,56577.0,38311.96
2022-09-01,55714.0,37936.60999999999
2022-10-01,56014.0,38016.55
2022-11-01,56196.0,37997.130000000005
2022-12-01,56737.0,37963.869999999995
2023-01-01,56968.0,37095.280000000006
2023-02-01,56886.0,37288.04
2023-03-01,56785.0,37570.310000000005
2023-04-01,57065.0,38043.89000000001
2023-05-01,56589.0,38694.270000000004
2023-06-01,56719.0,39425.33
2023-07-01,57347.0,39528.91
2023-08-01,57382.0,39471.36
2023-09-01,56884.0,39023.96
2023-10-01,55913.0,39077.01
2023-11-01,56500.0,38944.64
2023-12-01,56281.0,38906.49
2024-01-01,55708.0,37939.740000000005
2024-02-01,55703.0,38142.45
2024-03-01,55887.0,38513.97
2024-04-01,55920.0,38943.25
2024-05-01,55393.0,39560.840000000004
2024-06-01,55887.0,40102.450000000004
2024-07-01,56043.0,40183.81
2024-08-01,56021.0,40140.2
2024-09-01,55418.0,39717.770000000004
2024-10-01,55390.0,39637.68
2024-11-01,55879.0,39592.759999999995
2024-12-01,57291.0,39621.740000000005
2025-01-01,56960.0,38625.54
2025-02-01,57575.0,38743.009999999995
2025-03-01,57090.0,38981.29
2025-04-01,56320.0,39375.89000000001
2025-05-01,56418.0,40028.219999999994
2025-06-01,57477.0,40566.37
2025-07-01,57659.0,40662.44
2025-08-01,56773.0,40586.58
2025-09-01,56904.0,40102.350000000006
2025-11-01,58304.0,39887.3
2025-12-01,57308.0,39853.65
2026-01-01,56348.0,38960.579999999994
2026-02-01,56927.0,38932.689999999995
