date,prime_age_epop
2022-08-01,80.2
2022-09-01,80.2
2022-10-01,79.9
2022-11-01,79.8
2022-12-01,80.2
2023-01-01,80.3
2023-02-01,80.5
2023-03-01,80.7
2023-04-01,80.7
2023-05-01,80.7
2023-06-01,80.8
2023-07-01,80.9
2023-08-01,80.8
2023-09-01,80.8
2023-10-01,80.7
2023-11-01,80.8
2023-12-01,80.5
2024-01-01,80.6
2024-02-01,80.7
2024-03-01,80.7
2024-04-01,80.8
2024-05-01,80.8
2024-06-01,80.7
2024-07-01,80.9
2024-08-01,80.9
2024-09-01,80.9
2024-10-01,80.6
2024-11-01,80.5
2024-12-01,80.5
2025-01-01,80.7
2025-02-01,80.5
2025-03-01,80.4
2025-04-01,80.7
2025-05-01,80.5
2025-06-01,80.7
2025-07-01,80.4
2025-08-01,80.7
2025-09-01,80.7
2025-11-01,80.6
2025-12-01,80.7
2026-01-01,80.8
2026-02-01,80.7
